target_word,range,quarter,mean_projection,std_projection,median_projection,min_projection,max_projection,count,accuracy,total_sentences,correct_predictions
출산율,range1,2016Q4,-0.058327534846991214,0.023213752296423033,-0.054396674036979675,-0.20355349779129028,0.00119769386947155,1003,0.8588351431391905,1013,870
교육,range1,2016Q4,-0.07398729869254946,0.025877841122962424,-0.07396494969725609,-0.2276013344526291,0.03275454044342041,1236,0.4123788217747949,1341,553
분유,range1,2016Q4,-0.10931845225177089,0.023941336325999506,-0.10645085945725441,-0.2049427330493927,-0.03400617465376854,894,0.7310195227765727,922,674
가정,range1,2016Q4,-0.07652024514393219,0.02981981719444314,-0.0735640749335289,-0.20177847146987915,0.03275454044342041,1365,0.5858234885337039,1439,843
검사,range1,2016Q4,-0.08021842861585456,0.01972026132293927,-0.07889845967292786,-0.23462533950805664,0.0178133063018322,1096,0.7662771285475793,1198,918
딸,range1,2016Q4,-0.12036658563420347,0.02722650322795143,-0.12091788649559021,-0.23603226244449615,0.027186252176761627,1489,0.5947164948453608,1552,923
여성,range1,2016Q4,-0.08502693839022206,0.03292401608955463,-0.08314953371882439,-0.2236526608467102,0.04438333585858345,2818,0.7868908716540838,2914,2293
산후,range1,2016Q4,-0.09591147964415343,0.032028102708275843,-0.0887204147875309,-0.2605242133140564,0.027186252176761627,1610,0.4522079373951928,1789,809
휴직,range1,2016Q4,-0.0833464764219665,0.03081251959639073,-0.08186006546020508,-0.23462533950805664,0.032754573971033096,1087,0.8117953165654813,1153,936
육아휴직,range1,2016Q4,-0.08514988623261452,0.020007580826197267,-0.08338956534862518,-0.20016339421272278,-0.005725584924221039,625,0.0,627,0
젖병,range1,2016Q4,-0.10148192303685041,0.018838187428361516,-0.09985503554344177,-0.18888810276985168,-0.05195235460996628,650,0.5685975609756098,656,373
태동,range1,2016Q4,-0.09428448917189236,0.02536286520259142,-0.09180113673210144,-0.2311982810497284,-0.043198876082897186,637,0.7624223602484472,644,491
출생,range1,2016Q4,-0.07066961701773235,0.021859265815678732,-0.0681006945669651,-0.20334385335445404,0.027186252176761627,1466,0.6322067594433399,1509,954
아들,range1,2016Q4,-0.12341293152557342,0.030624625909088987,-0.12503749877214432,-0.2576395273208618,0.0171660166233778,1236,0.4512987012987013,1540,695
혼인,range1,2016Q4,-0.07710072607879133,0.02580587472923309,-0.07103243470191956,-0.240703746676445,0.0264092069119215,958,0.6703517587939698,995,667
초음파,range1,2016Q4,-0.09997869186648509,0.028698642089493707,-0.0968429297208786,-0.20757250487804413,-0.03400617465376854,615,0.8085443037974683,632,511
부모님,range1,2016Q4,-0.11218442236631078,0.03075499477694387,-0.11355593800544739,-0.2539006471633911,-0.017188070341944695,723,0.0,750,0
입원,range1,2016Q4,-0.08485443503058337,0.019541852611038614,-0.08134543895721436,-0.19770552217960358,-0.030963972210884094,719,0.6720867208672087,738,496
진통,range1,2016Q4,-0.09346776008896995,0.025904199640830045,-0.08893857523798943,-0.21613287925720215,0.0171660166233778,640,0.8135338345864662,665,541
태명,range1,2016Q4,-0.12862968465769625,0.028598525619162426,-0.12745150178670883,-0.22980746626853943,-0.059225067496299744,498,0.0,526,0
자연분만,range1,2016Q4,-0.09038063401155534,0.023190945127766077,-0.08500130474567413,-0.21921919286251068,-0.04063383489847183,538,0.0,547,0
제왕절개,range1,2016Q4,-0.09228944977354488,0.023758493712003184,-0.08834364265203476,-0.2159227728843689,-0.03095504269003868,648,0.0,655,0
통증,range1,2016Q4,-0.08521092961781197,0.021885540373571846,-0.0825241208076477,-0.19442856311798096,0.0171660166233778,538,0.8282828282828283,594,492
수술,range1,2016Q4,-0.08692975173359864,0.02211736325072369,-0.08234743028879166,-0.20750939846038818,-0.03607065603137016,730,0.54521625163827,763,416
생후,range1,2016Q4,-0.09831309369765222,0.02426307961299279,-0.09490149468183517,-0.20757250487804413,-0.04783899337053299,480,0.926530612244898,490,454
신혼부부,range1,2016Q4,-0.07538632228424698,0.0281678975024942,-0.06969647482037544,-0.20946326851844788,-0.020664842799305916,546,0.0,552,0
물티슈,range1,2016Q4,-0.09864196451628103,0.02143326029293626,-0.09726589173078537,-0.16562077403068542,0.017166055738925934,452,0.888646288209607,458,407
이유식,range1,2016Q4,-0.10277888072928801,0.020745514829429646,-0.10099810734391212,-0.2080804705619812,-0.04498723894357681,394,0.7732997481108312,397,307
비혼,range1,2016Q4,-0.08959596170685612,0.03458912540722811,-0.08088368922472,-0.2148686647415161,0.0171660166233778,468,0.0,478,0
아내,range1,2016Q4,-0.11625305488543901,0.027829993299128386,-0.12004876136779785,-0.21336068212985992,-0.022340860217809677,691,0.3764172335600907,882,332
통계,range1,2016Q4,-0.042400530425586946,0.02938673118384901,-0.04070367477834225,-0.175337016582489,0.04438333585858345,548,0.6017543859649123,570,343
제도,range1,2016Q4,-0.06204283491062188,0.041478516892238165,-0.05916620045900345,-0.2605242133140564,0.032754573971033096,1290,0.5685752330226365,1502,854
고령화,range1,2016Q4,-0.06111404988322689,0.021838253590603592,-0.0587703213095665,-0.19177350401878357,0.03275454044342041,409,0.8658823529411764,425,368
양육,range1,2016Q4,-0.08413324450477443,0.02364932931287499,-0.08006647601723671,-0.22607585787773132,0.0052089449018239975,868,0.8015873015873016,882,707
연애,range1,2016Q4,-0.09816758112277854,0.03017126407837813,-0.08712351322174072,-0.20522302389144897,0.0007459530606865883,418,0.2681818181818182,440,118
출생아,range1,2016Q4,-0.06210098364380504,0.02592083598978439,-0.05891347676515579,-0.15361861884593964,0.01749112270772457,469,0.0,472,0
애들,range1,2016Q4,-0.12987372840979972,0.031877907953790405,-0.13087506592273712,-0.23603226244449615,0.0007459530606865883,401,0.0,422,0
남성,range1,2016Q4,-0.09470771679764285,0.03637917340032597,-0.09115434065461159,-0.23603226244449615,0.01432674378156662,1700,0.4770797962648557,1767,843
내진,range1,2016Q4,-0.07992907776657877,0.02072429712810854,-0.07674544677138329,-0.22189733386039734,-0.03388066217303276,290,0.7966666666666666,300,239
통계청,range1,2016Q4,-0.03451535951634738,0.024397020744570747,-0.029760539531707764,-0.17137372493743896,0.020196182653307915,355,0.9505494505494505,364,346
복지,range1,2016Q4,-0.06018765601763117,0.02793468716600973,-0.0623505525290966,-0.17773059010505676,0.032754573971033096,741,0.21205597416576966,929,197
가사,range1,2016Q4,-0.08994388647597752,0.029471341595486214,-0.08455286920070648,-0.21547554433345795,0.0052089449018239975,389,0.4790697674418605,430,206
아동,range1,2016Q4,-0.07517248639839556,0.024638902116875416,-0.07196392118930817,-0.17119240760803223,0.0007459530606865883,703,0.4230271668822768,773,327
출산률,range1,2016Q4,-0.07968282725542432,0.03833710269771085,-0.07073291018605232,-0.22623851895332336,-0.007068299222737551,296,0.0,315,0
태동검사,range1,2016Q4,-0.07927455631983153,0.01419409925557158,-0.07665492594242096,-0.14875832200050354,-0.051653675734996796,283,0.0,285,0
산부인과,range1,2016Q4,-0.08687803052361259,0.026270743565020786,-0.08338111639022827,-0.21886387467384338,-0.0031747492030262947,824,0.6827586206896552,870,594
돌봄,range1,2016Q4,-0.07677217861355254,0.021162813315754595,-0.07589271664619446,-0.1879214644432068,0.03275454044342041,330,0.7198795180722891,332,239
유도분만,range1,2016Q4,-0.08450890720041111,0.018006990646353412,-0.0809682309627533,-0.1892402470111847,-0.040901459753513336,297,0.0,297,0
독박육아,range1,2016Q4,-0.10544211622918882,0.03429551644129725,-0.09525739029049873,-0.21775265038013458,-0.04320209473371506,252,0.0,272,0
주택,range1,2016Q4,-0.07025022800409733,0.020429949258141414,-0.07126691937446594,-0.17180344462394714,0.03275454044342041,495,0.6404494382022472,534,342
저출생,range1,2016Q4,-0.0637203829872251,0.021547985043661625,-0.060250550508499146,-0.19323274493217468,-0.022662799805402756,267,0.0,270,0
합계출산율,range1,2016Q4,-0.05253075988849207,0.016080145079492795,-0.05123785510659218,-0.14476117491722107,0.025830529630184174,343,0.0,344,0
가구,range1,2016Q4,-0.06267194676811445,0.030203069638579088,-0.05545870400965214,-0.2083432972431183,0.0007459530606865883,582,0.6860643185298622,653,448
주거,range1,2016Q4,-0.07419012791344097,0.028308853842574328,-0.06840623915195465,-0.1980898678302765,0.03275454044342041,525,0.45293072824156305,563,255
출생신고,range1,2016Q4,-0.08652596183896817,0.02000199332012725,-0.08558251708745956,-0.1879214644432068,-0.03156951069831848,317,0.0,318,0
맞벌이,range1,2016Q4,-0.08265946461353452,0.030443940383239363,-0.08113141730427742,-0.19504480063915253,-0.00492970971390605,300,0.7320261437908496,306,224
혼인신고,range1,2016Q4,-0.07828684154999992,0.01848054888819221,-0.07686222717165947,-0.14716118574142456,-0.04019968956708908,292,0.0,292,0
집안일,range1,2016Q4,-0.0976371574277679,0.022451610642045792,-0.08998877555131912,-0.23181605339050293,-0.054925478994846344,300,0.1540983606557377,305,47
쌍둥이,range1,2016Q4,-0.11136610107260005,0.02451697519400185,-0.11275407671928406,-0.17956870794296265,-0.03983508050441742,394,0.5550122249388753,409,227
촉진제,range1,2016Q4,-0.08179906767400556,0.023493669423721792,-0.07748335599899292,-0.19504480063915253,-0.03209388256072998,159,0.0,163,0
이혼,range1,2016Q4,-0.08532389553295354,0.026396598610437628,-0.08100196346640587,-0.19723650813102722,-0.023953374475240707,354,0.5623268698060941,361,203
모유,range1,2016Q4,-0.10434195651289295,0.02345882871862934,-0.10212437808513641,-0.19014444947242737,0.017166055738925934,799,0.8608374384236454,812,699
어린이집,range1,2016Q4,-0.10042495006916119,0.029132779178214305,-0.09743788838386536,-0.24292156100273132,0.0007459530606865883,481,0.6260162601626016,492,308
모유수유,range1,2016Q4,-0.0914783521802291,0.022173690779511684,-0.08634735643863678,-0.18846389651298523,-0.042298320680856705,479,0.0,487,0
의사,range1,2016Q4,-0.08417599510590909,0.03297645122559487,-0.07860410213470459,-0.20612314343452454,0.0007459530606865883,885,0.6405940594059406,1010,647
산후조리,range1,2016Q4,-0.08458080283590477,0.022574947722383252,-0.08080898225307465,-0.20850159227848053,-0.03252732753753662,685,0.0,705,0
유치원,range1,2016Q4,-0.09579938908782898,0.025872181177768017,-0.09317188709974289,-0.1688995510339737,-0.02107609622180462,211,0.6026785714285714,224,135
태아,range1,2016Q4,-0.10031718844991355,0.027902323674916036,-0.09930907562375069,-0.1879214644432068,0.0171660166233778,840,0.5851680185399768,863,505
전문의,range1,2016Q4,-0.09008174446912912,0.02729227148752456,-0.08928847312927246,-0.1879214644432068,-0.006775824353098869,182,0.6632653061224489,196,130
젖,range1,2016Q4,-0.10622867551859122,0.021185719247236393,-0.1028590202331543,-0.22754523158073425,-0.040859512984752655,981,0.4428997020854022,1007,446
산후조리원,range1,2016Q4,-0.08958913873685034,0.0224943015073404,-0.08606884628534317,-0.20566046237945557,-0.04481758549809456,475,0.0,488,0
의학,range1,2016Q4,-0.0679244382212307,0.02733351209110071,-0.06708254665136337,-0.1879214644432068,0.03275454044342041,187,0.28085106382978725,235,66
아이들,range1,2016Q4,-0.1211637360603475,0.02810306909273236,-0.12297985702753067,-0.22165969014167786,0.0006118221208453178,1303,0.0,1316,0
태교,range1,2016Q4,-0.10967131144584824,0.03043125421061968,-0.10393230244517326,-0.21385538578033447,-0.03177721053361893,522,0.7369402985074627,536,395
진료,range1,2016Q4,-0.08552441108145548,0.02125967917104627,-0.08353079855442047,-0.20334385335445404,-0.0028924099169671535,665,0.5158959537572254,692,357
소아과,range1,2016Q4,-0.09100061495943616,0.03111756506018739,-0.08498817682266235,-0.20255836844444275,-0.02119329757988453,192,0.0,199,0
출산,range1,2017Q1,-0.051144789441428654,0.03360006211867699,-0.057411305606365204,-0.22898265719413757,0.06565544754266739,12008,0.8166626301767983,12387,10116
육아,range1,2017Q1,-0.06493833843006935,0.03284706033616673,-0.06754333898425102,-0.22898265719413757,0.06617240607738495,8348,0.7509178522257917,8716,6545
아이,range1,2017Q1,-0.07867991708703115,0.022042168132897513,-0.07675255462527275,-0.22898262739181519,0.050206929445266724,5972,0.5703086722195002,6123,3492
아기,range1,2017Q1,-0.08291276003043745,0.026344680981938512,-0.08171671628952026,-0.21472473442554474,0.051447492092847824,5343,0.6832489146164978,5528,3777
임신,range1,2017Q1,-0.06332925148878875,0.02553988149123682,-0.06474210321903229,-0.21279007196426392,0.06565544754266739,5223,0.7866916588566073,5335,4197
엄마,range1,2017Q1,-0.08251435510303944,0.02485632799366968,-0.07951333001255989,-0.1949670910835266,0.03410717844963074,3760,0.6047235920062289,3853,2330
결혼,range1,2017Q1,-0.05954607745748912,0.02655342351943471,-0.05977398157119751,-0.19676169753074646,0.06617240607738495,3593,0.7749656121045392,3635,2817
애,range1,2017Q1,-0.0913882617112162,0.03269635019275977,-0.09058519825339317,-0.22898265719413757,0.06617240607738495,4702,0.26587442355445196,5638,1499
남편,range1,2017Q1,-0.07884803021299087,0.027504673232348828,-0.07579517364501953,-0.2032012939453125,0.03410717844963074,2567,0.47304015296367113,2615,1237
신생아,range1,2017Q1,-0.08121154080935661,0.02922882612413836,-0.08254769444465637,-0.20030048489570618,0.04799716919660568,2409,0.652738336713996,2465,1609
병원,range1,2017Q1,-0.06500797097176704,0.020465044582194905,-0.06845495477318764,-0.18625006079673767,0.06014183163642883,2290,0.764433206911083,2373,1814
저출산,range1,2017Q1,-0.026130424618900392,0.03070344076658445,-0.020464695990085602,-0.1712310016155243,0.0636698305606842,2139,0.840552995391705,2170,1824
아빠,range1,2017Q1,-0.0858160729125679,0.027778578443923334,-0.08050022646784782,-0.22898265719413757,0.05338718369603157,1998,0.4760076775431862,2084,992
지원,range1,2017Q1,-0.038840811377983786,0.032323198600587445,-0.04083004966378212,-0.20572268962860107,0.06565544754266739,2653,0.8207185211021975,2867,2353
산모,range1,2017Q1,-0.06953742773353061,0.025817785818327665,-0.07229756191372871,-0.1995127648115158,0.06702790409326553,1944,0.47052896725440807,1985,934
정책,range1,2017Q1,-0.028641929822242448,0.02680956837779541,-0.02672542631626129,-0.19676169753074646,0.06665323674678802,2027,0.8378879110699398,2159,1809
개월,range1,2017Q1,-0.08420736304278137,0.025616478039775827,-0.08206140995025635,-0.20030046999454498,0.06617240607738495,917,0.3175698998964446,2897,920
분만,range1,2017Q1,-0.06992511126644796,0.01960010255930375,-0.07170198112726212,-0.19611480832099915,0.042939841747283936,1315,0.6532663316582915,1592,1040
아가,range1,2017Q1,-0.08845475992926116,0.02885006870105419,-0.08544159680604935,-0.19611480832099915,0.042460985481739044,1534,0.1424751718869366,2618,373
자녀,range1,2017Q1,-0.06968047595525338,0.02395895906880952,-0.07282326370477676,-0.16094952821731567,0.03734864294528961,1537,0.5494710640945862,1607,883
임산부,range1,2017Q1,-0.0689213167357875,0.02697165363330317,-0.06987963616847992,-0.22898265719413757,0.04799716919660568,1420,0.5230557467309016,1453,760
돌,range1,2017Q1,-0.0936430878702544,0.034107562233054195,-0.09472205489873886,-0.22898265719413757,0.08682868629693985,3611,0.19017355169885114,4091,778
둘째,range1,2017Q1,-0.07618314287323943,0.026551929477735225,-0.07603736221790314,-0.19512514770030975,0.059494223445653915,1360,0.6467195385724586,1387,897
부모,range1,2017Q1,-0.07082692712440544,0.029131237129466088,-0.07393210381269455,-0.1894194334745407,0.06045537441968918,2265,0.32897511598481655,2371,780
인구,range1,2017Q1,-0.026002537570908618,0.030605878963619153,-0.021727584302425385,-0.1669462025165558,0.07006396353244781,1254,0.7854406130268199,1305,1025
조리원,range1,2017Q1,-0.07032053304947707,0.01992120871659124,-0.07166170328855515,-0.19357547163963318,0.030415348708629608,1269,0.6816793893129771,1310,893
부부,range1,2017Q1,-0.058645811948848506,0.03191282854520429,-0.0657222718000412,-0.19450536370277405,0.08294452726840973,1893,0.5292112950340798,2054,1087
가족,range1,2017Q1,-0.05618181944514889,0.034358378565797355,-0.062328439205884933,-0.1995127648115158,0.06565544754266739,2161,0.5481580115401686,2253,1235
수유,range1,2017Q1,-0.07137778908068058,0.017422385403139718,-0.07288458943367004,-0.1749277412891388,0.04799716919660568,1178,0.7306753458096013,1229,898
첫째,range1,2017Q1,-0.08634072628983248,0.022091304752406064,-0.0845373272895813,-0.16702187061309814,0.009744424372911453,1021,0.7614942528735632,1044,795
정부,range1,2017Q1,-0.04401852833559375,0.03368897529134133,-0.05142543651163578,-0.19042858481407166,0.08682868629693985,1390,0.7854741089441829,1487,1168
애기,range1,2017Q1,-0.09626282066441944,0.025068492636787787,-0.09453161060810089,-0.18672902882099152,0.032906144857406616,1445,0.36923076923076925,1495,552
기저귀,range1,2017Q1,-0.08088547678886203,0.01819984241444528,-0.07928162068128586,-0.18669693171977997,0.011186341755092144,999,0.7883141762452107,1044,823
출산율,range1,2017Q1,-0.04472328961621654,0.027884440675199636,-0.04978872835636139,-0.1634286642074585,0.04597681015729904,1003,0.8045409674234946,1013,815
교육,range1,2017Q1,-0.04089189900344829,0.02991972191558084,-0.042629554867744446,-0.16682769358158112,0.06565544754266739,1231,0.5652498135719612,1341,758
분유,range1,2017Q1,-0.08122556298382098,0.01885832604246193,-0.0781593956053257,-0.18873564898967743,-0.02078632451593876,898,0.7136659436008677,922,658
가정,range1,2017Q1,-0.047797969288108026,0.030609685820869873,-0.04935375228524208,-0.19042858481407166,0.06565544754266739,1375,0.4857539958304378,1439,699
검사,range1,2017Q1,-0.06478556120632904,0.02077210228156863,-0.06992846727371216,-0.13361629843711853,0.04805980622768402,1129,0.7278797996661102,1198,872
딸,range1,2017Q1,-0.08861973416973574,0.02497582204641553,-0.08495085686445236,-0.19963906705379486,0.04195721819996834,1504,0.3943298969072165,1552,612
여성,range1,2017Q1,-0.04801684605735497,0.029836746303626937,-0.05125601217150688,-0.15157181024551392,0.08294452726840973,2839,0.7446808510638298,2914,2170
산후,range1,2017Q1,-0.06776251543602074,0.027814849933351225,-0.06654281914234161,-0.19046494364738464,0.04799716919660568,1593,0.548351034097261,1789,981
휴직,range1,2017Q1,-0.04402780147596812,0.032142680421856154,-0.0478938203305006,-0.19676169753074646,0.06565544754266739,1132,0.8915871639202082,1153,1028
육아휴직,range1,2017Q1,-0.061335972480475905,0.023908600585436493,-0.06703422963619232,-0.17123788595199585,0.06565544754266739,625,0.6810207336523126,627,427
젖병,range1,2017Q1,-0.07471392371983158,0.014550836536587213,-0.07300597801804543,-0.17257758975028992,0.04799714684486389,652,0.8582317073170732,656,563
태동,range1,2017Q1,-0.07336637465050444,0.01576397522689281,-0.07309207692742348,-0.16544613242149353,-0.032700471580028534,640,0.7686335403726708,644,495
출생,range1,2017Q1,-0.037229864516426917,0.028936587856274582,-0.03872603923082352,-0.1446957141160965,0.06617240607738495,1474,0.6056991385023194,1509,914
아들,range1,2017Q1,-0.08726300626485732,0.026867784739880426,-0.08246074616909027,-0.2097962200641632,0.04799716919660568,1237,0.38181818181818183,1540,588
혼인,range1,2017Q1,-0.04951389549636058,0.024649937580618494,-0.04899909161031246,-0.17079952359199524,0.04982149973511696,948,0.7487437185929648,995,745
초음파,range1,2017Q1,-0.07698131479334888,0.019626893661887506,-0.07678895816206932,-0.16582965850830078,0.01045310404151678,622,0.6962025316455697,632,440
부모님,range1,2017Q1,-0.07574630547638259,0.027073138308777604,-0.07411911338567734,-0.22475740313529968,0.030415348708629608,720,0.4613333333333333,750,346
입원,range1,2017Q1,-0.07053155194192527,0.015873206638902074,-0.07050598412752151,-0.15211482346057892,-0.002525441814213991,723,0.7235772357723578,738,534
진통,range1,2017Q1,-0.07636894600851168,0.017094119075641206,-0.07507174462080002,-0.17617979645729065,0.04799716919660568,643,0.6586466165413534,665,438
태명,range1,2017Q1,-0.0866794679059736,0.02272555223900098,-0.08029208332300186,-0.20220685005187988,-0.015559569001197815,513,0.5779467680608364,526,304
자연분만,range1,2017Q1,-0.07528683121119617,0.014824599374860891,-0.07481101155281067,-0.14206495881080627,-0.0039029475301504135,545,0.716636197440585,547,392
제왕절개,range1,2017Q1,-0.07156897186833017,0.015226654134673681,-0.0721106305718422,-0.18385183811187744,0.04799716919660568,652,0.6091603053435114,655,399
통증,range1,2017Q1,-0.07043089160475571,0.013059151834435533,-0.07091893255710602,-0.12425941973924637,-0.017030421644449234,567,0.7676767676767676,594,456
수술,range1,2017Q1,-0.07255311060843425,0.01991044710622423,-0.07219956815242767,-0.19038735330104828,0.04799716919660568,737,0.5688073394495413,763,434
생후,range1,2017Q1,-0.07021706831403711,0.023914901023841504,-0.0681929737329483,-0.1813218891620636,0.005616236478090286,470,0.9081632653061225,490,445
신혼부부,range1,2017Q1,-0.04774171135548359,0.027422014499840587,-0.04846494644880295,-0.1386796236038208,0.03410717844963074,547,0.1956521739130435,552,108
물티슈,range1,2017Q1,-0.07643001000695013,0.012489230924363928,-0.0765337198972702,-0.15782268345355988,-0.021943755447864532,453,0.8668122270742358,458,397
이유식,range1,2017Q1,-0.0791486105216401,0.015396871357542167,-0.07674796879291534,-0.15487901866436005,-0.02418772131204605,392,0.6171284634760705,397,245
비혼,range1,2017Q1,-0.04658713843224758,0.0326318370402469,-0.04031965881586075,-0.17256687581539154,0.03410717844963074,467,0.043933054393305436,478,21
아내,range1,2017Q1,-0.07388876605029265,0.02372096748551836,-0.07393210381269455,-0.1669462025165558,0.0165665652602911,687,0.20634920634920634,882,182
통계,range1,2017Q1,-0.0019211262444458915,0.032456304306694064,0.005457861814647913,-0.13368508219718933,0.08682869374752045,557,0.6157894736842106,570,351
제도,range1,2017Q1,-0.0320383800974127,0.04102929354448285,-0.032414449378848076,-0.19804373383522034,0.06565544754266739,1318,0.5832223701731025,1502,876
고령화,range1,2017Q1,-0.018477787679981397,0.030952672587073765,-0.015237655490636826,-0.17015081644058228,0.06565544754266739,415,0.8941176470588236,425,380
양육,range1,2017Q1,-0.053011973978691666,0.026730776423177605,-0.05296020396053791,-0.17207640409469604,0.03116684779524803,860,0.673469387755102,882,594
연애,range1,2017Q1,-0.06339531797976768,0.024627501483115582,-0.06346642971038818,-0.16121098399162292,0.030415266752243042,427,0.46136363636363636,440,203
출생아,range1,2017Q1,-0.033883861871336525,0.024951978343239336,-0.03204387053847313,-0.1163744330406189,0.05693165212869644,467,0.6864406779661016,472,324
애들,range1,2017Q1,-0.08841774652479216,0.03145141616801918,-0.08439848199486732,-0.20030046999454498,0.032906144857406616,400,0.0071090047393364926,422,3
남성,range1,2017Q1,-0.05952293457913451,0.032003863783746304,-0.06087001413106918,-0.2032788097858429,0.08294452726840973,1732,0.6989247311827957,1767,1235
내진,range1,2017Q1,-0.07499564595456268,0.0112762451118175,-0.07365595176815987,-0.12560957670211792,-0.0006767688319087029,290,0.7566666666666667,300,227
